"","workerid","trial_type","modifier2","noun","modifier1","stimulus","train","modifier","response","condition","expected_response","correct","post_nominal"
"1",0,"num",NA,"cherries",NA,"two cherries",TRUE,"two","cherries two",1,"cherries two",TRUE,TRUE
"2",0,"adj",NA,"shovel",NA,"blue shovel",TRUE,"blue","shovel blue",1,"shovel blue",TRUE,TRUE
"3",0,"num",NA,"lamps",NA,"four lamps",TRUE,"four","lamps four",1,"lamps four",TRUE,TRUE
"4",0,"num",NA,"ribbons",NA,"five ribbons",TRUE,"five","ribbons five",1,"ribbons five",TRUE,TRUE
"5",0,"num",NA,"couches",NA,"three couches",TRUE,"three","couches three",1,"couches three",TRUE,TRUE
"6",0,"num",NA,"pineapples",NA,"six pineapples",TRUE,"six","pineapples six",1,"pineapples six",TRUE,TRUE
"7",0,"num",NA,"scarfs",NA,"ten scarfs",TRUE,"ten","scarfs ten",1,"scarfs ten",TRUE,TRUE
"8",0,"num",NA,"pears",NA,"five pears",TRUE,"five","pears five",1,"pears five",TRUE,TRUE
"9",0,"adj",NA,"lamp",NA,"wooden lamp",TRUE,"wooden","lamp wooden",1,"lamp wooden",TRUE,TRUE
"10",0,"adj",NA,"cow",NA,"stone cow",TRUE,"stone","cow stone",1,"cow stone",TRUE,TRUE
"11",0,"adj",NA,"handbag",NA,"orange handbag",TRUE,"orange","handbag orange",1,"handbag orange",TRUE,TRUE
"12",0,"adj",NA,"banana",NA,"stone banana",TRUE,"stone","banana stone",1,"banana stone",TRUE,TRUE
"13",0,"num",NA,"hats",NA,"six hats",TRUE,"six","hats six",1,"hats six",TRUE,TRUE
"14",0,"num",NA,"cows",NA,"six cows",TRUE,"six","cows six",1,"cows six",TRUE,TRUE
"15",0,"adj",NA,"scarf",NA,"furry scarf",TRUE,"furry","scarf furry",1,"scarf furry",TRUE,TRUE
"16",0,"adj",NA,"pear",NA,"dirty pear",TRUE,"dirty","pear dirty",1,"pear dirty",TRUE,TRUE
"17",0,"num",NA,"horse",NA,"one horse",TRUE,"one","horse one",1,"horse one",TRUE,TRUE
"18",0,"adj",NA,"horse",NA,"spotted horse",TRUE,"spotted","horse spotted",1,"horse spotted",TRUE,TRUE
"19",0,"num",NA,"bowls",NA,"nine bowls",TRUE,"nine","bowls nine",1,"bowls nine",TRUE,TRUE
