workerid,trial_type,modifier2,noun,modifier1,stimulus,train,modifier,response,other_languages,language,problems,comments,asses,fairprice,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.time_in_minutes,Answer.catch_trials
0,num,NA,cherries,NA,two cherries,NA,two,cherries two,,English,no issues,Fun experiment that made me think!,Yes,"yes, very fair",Windows,960,1440,Chrome,35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3ADAE1FYCQJBSKLSFIRRQBAP7L4AE9,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$2.00,Wed May 17 18:12:53 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond1,1800,60000,Fri Jun 16 18:12:53 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3CFJTT4SXTQOMGFR185J539PU4SI7V,0,Approved,Thu May 18 11:06:11 PDT 2017,Wed May 17 18:13:51 PDT 2017,Wed May 17 18:26:11 PDT 2017,Wed May 17 18:28:48 PDT 2017,,,,,1,6.978433333333333,[]
0,adj,NA,shovel,NA,blue shovel,NA,blue,shovel blue,,English,no issues,Fun experiment that made me think!,Yes,"yes, very fair",Windows,960,1440,Chrome,35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3ADAE1FYCQJBSKLSFIRRQBAP7L4AE9,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$2.00,Wed May 17 18:12:53 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond1,1800,60000,Fri Jun 16 18:12:53 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3CFJTT4SXTQOMGFR185J539PU4SI7V,0,Approved,Thu May 18 11:06:11 PDT 2017,Wed May 17 18:13:51 PDT 2017,Wed May 17 18:26:11 PDT 2017,Wed May 17 18:28:48 PDT 2017,,,,,1,6.978433333333333,[]
0,num,NA,lamps,NA,four lamps,NA,four,lamps four,,English,no issues,Fun experiment that made me think!,Yes,"yes, very fair",Windows,960,1440,Chrome,35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3ADAE1FYCQJBSKLSFIRRQBAP7L4AE9,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$2.00,Wed May 17 18:12:53 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond1,1800,60000,Fri Jun 16 18:12:53 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3CFJTT4SXTQOMGFR185J539PU4SI7V,0,Approved,Thu May 18 11:06:11 PDT 2017,Wed May 17 18:13:51 PDT 2017,Wed May 17 18:26:11 PDT 2017,Wed May 17 18:28:48 PDT 2017,,,,,1,6.978433333333333,[]
0,num,NA,ribbons,NA,five ribbons,NA,five,ribbons five,,English,no issues,Fun experiment that made me think!,Yes,"yes, very fair",Windows,960,1440,Chrome,35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3ADAE1FYCQJBSKLSFIRRQBAP7L4AE9,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$2.00,Wed May 17 18:12:53 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond1,1800,60000,Fri Jun 16 18:12:53 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3CFJTT4SXTQOMGFR185J539PU4SI7V,0,Approved,Thu May 18 11:06:11 PDT 2017,Wed May 17 18:13:51 PDT 2017,Wed May 17 18:26:11 PDT 2017,Wed May 17 18:28:48 PDT 2017,,,,,1,6.978433333333333,[]
0,num,NA,couches,NA,three couches,NA,three,couches three,,English,no issues,Fun experiment that made me think!,Yes,"yes, very fair",Windows,960,1440,Chrome,35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3ADAE1FYCQJBSKLSFIRRQBAP7L4AE9,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$2.00,Wed May 17 18:12:53 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond1,1800,60000,Fri Jun 16 18:12:53 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3CFJTT4SXTQOMGFR185J539PU4SI7V,0,Approved,Thu May 18 11:06:11 PDT 2017,Wed May 17 18:13:51 PDT 2017,Wed May 17 18:26:11 PDT 2017,Wed May 17 18:28:48 PDT 2017,,,,,1,6.978433333333333,[]
0,num,NA,pineapples,NA,six pineapples,NA,six,pineapples six,,English,no issues,Fun experiment that made me think!,Yes,"yes, very fair",Windows,960,1440,Chrome,35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3ADAE1FYCQJBSKLSFIRRQBAP7L4AE9,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$2.00,Wed May 17 18:12:53 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond1,1800,60000,Fri Jun 16 18:12:53 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3CFJTT4SXTQOMGFR185J539PU4SI7V,0,Approved,Thu May 18 11:06:11 PDT 2017,Wed May 17 18:13:51 PDT 2017,Wed May 17 18:26:11 PDT 2017,Wed May 17 18:28:48 PDT 2017,,,,,1,6.978433333333333,[]
0,num,NA,scarfs,NA,ten scarfs,NA,ten,scarfs ten,,English,no issues,Fun experiment that made me think!,Yes,"yes, very fair",Windows,960,1440,Chrome,35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3ADAE1FYCQJBSKLSFIRRQBAP7L4AE9,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$2.00,Wed May 17 18:12:53 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond1,1800,60000,Fri Jun 16 18:12:53 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3CFJTT4SXTQOMGFR185J539PU4SI7V,0,Approved,Thu May 18 11:06:11 PDT 2017,Wed May 17 18:13:51 PDT 2017,Wed May 17 18:26:11 PDT 2017,Wed May 17 18:28:48 PDT 2017,,,,,1,6.978433333333333,[]
0,num,NA,pears,NA,five pears,NA,five,pears five,,English,no issues,Fun experiment that made me think!,Yes,"yes, very fair",Windows,960,1440,Chrome,35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3ADAE1FYCQJBSKLSFIRRQBAP7L4AE9,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$2.00,Wed May 17 18:12:53 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond1,1800,60000,Fri Jun 16 18:12:53 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3CFJTT4SXTQOMGFR185J539PU4SI7V,0,Approved,Thu May 18 11:06:11 PDT 2017,Wed May 17 18:13:51 PDT 2017,Wed May 17 18:26:11 PDT 2017,Wed May 17 18:28:48 PDT 2017,,,,,1,6.978433333333333,[]
0,adj,NA,lamp,NA,wooden lamp,NA,wooden,lamp wooden,,English,no issues,Fun experiment that made me think!,Yes,"yes, very fair",Windows,960,1440,Chrome,35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3ADAE1FYCQJBSKLSFIRRQBAP7L4AE9,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$2.00,Wed May 17 18:12:53 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond1,1800,60000,Fri Jun 16 18:12:53 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3CFJTT4SXTQOMGFR185J539PU4SI7V,0,Approved,Thu May 18 11:06:11 PDT 2017,Wed May 17 18:13:51 PDT 2017,Wed May 17 18:26:11 PDT 2017,Wed May 17 18:28:48 PDT 2017,,,,,1,6.978433333333333,[]
0,adj,NA,cow,NA,stone cow,NA,stone,cow stone,,English,no issues,Fun experiment that made me think!,Yes,"yes, very fair",Windows,960,1440,Chrome,35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3ADAE1FYCQJBSKLSFIRRQBAP7L4AE9,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$2.00,Wed May 17 18:12:53 PDT 2017,2,0,0,2,Reviewable,NotReviewed,1 cond1,1800,60000,Fri Jun 16 18:12:53 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=35U0MRQMUJ7X68TXRZG36UPSNXKOVY,3CFJTT4SXTQOMGFR185J539PU4SI7V,0,Approved,Thu May 18 11:06:11 PDT 2017,Wed May 17 18:13:51 PDT 2017,Wed May 17 18:26:11 PDT 2017,Wed May 17 18:28:48 PDT 2017,,,,,1,6.978433333333333,[]
