workerid,OS,screenH,screenW,Browser
0,Windows,1080,1920,Chrome
1,Windows,768,1366,Chrome
2,Windows,1080,1920,Chrome
3,Windows,900,1600,Chrome
4,Windows,1080,1920,Chrome
5,Windows,1143,1429,Firefox
6,Windows,1024,1280,Firefox
7,Windows,1080,1920,Chrome
8,Windows,768,1366,Chrome
9,Windows,1440,2560,Chrome
10,Windows,720,1280,Firefox
11,Mac,1080,1920,Chrome
12,Mac,1440,2560,Chrome
13,Windows,768,1366,Chrome
14,Mac,1080,1920,Chrome
15,Windows,1080,1920,Chrome
16,Windows,864,1536,Chrome
17,Windows,768,1366,Chrome
18,Windows,1080,1920,Chrome
19,Windows,720,1280,Firefox
20,Windows,630,1120,Firefox
21,Windows,1200,1920,Chrome
22,Linux,1080,1920,Chrome
23,Windows,1200,1920,Firefox
24,Windows,768,1366,Chrome
25,Windows,900,1600,Chrome
26,Windows,1080,1920,Chrome
27,Mac,1080,1920,Chrome
28,Windows,900,1600,Chrome
29,Windows,720,1280,Chrome
