workerid,trial_type,modifier2,noun,modifier1,stimulus,train,modifier,response
0,det,NA,bowl,NA,this bowl,NA,this,bowl this
0,num,NA,boxes,NA,four boxes,NA,four,boxes four
0,det,NA,pig,NA,this pig,NA,this,pig this
0,num,NA,handbags,NA,three handbags,NA,three,handbags three
0,num,NA,trays,NA,ten trays,NA,ten,trays ten
0,num,NA,bananas,NA,six bananas,NA,six,bananas six
0,num,NA,cherries,NA,five cherries,NA,five,cherries five
0,num,NA,shoes,NA,six shoes,NA,six,shoes six
0,num,NA,shirts,NA,nine shirts,NA,nine,shirts nine
0,det,NA,scarf,NA,that scarf,NA,that,scarf that
0,det,NA,horse,NA,this horse,NA,this,horse this
0,det,NA,handbags,NA,these handbags,NA,these,handbags these
0,num,NA,darts,NA,three darts,NA,three,darts three
0,num,NA,pigs,NA,seven pigs,NA,seven,pigs seven
0,num,NA,chairs,NA,seven chairs,NA,seven,chairs seven
0,det,NA,ribbon,NA,that ribbon,NA,that,ribbon that
0,det,NA,chair,NA,this chair,NA,this,chair this
0,num,NA,horses,NA,four horses,NA,four,horses four
0,num,NA,ducks,NA,four ducks,NA,four,ducks four
0,det,NA,leaves,NA,those leaves,NA,those,leaves those
0,det,NA,shoe,NA,that shoe,NA,that,shoe that
0,det,NA,lamp,NA,this lamp,NA,this,lamp this
0,det,NA,trays,NA,these trays,NA,these,trays these
0,num,NA,hat,NA,one hat,NA,one,hat one
0,det,NA,cows,NA,these cows,NA,these,cows these
0,num,NA,pears,NA,seven pears,NA,seven,pears seven
0,det,NA,box,NA,that box,NA,that,box that
0,num,NA,pitchers,NA,six pitchers,NA,six,pitchers six
0,det,NA,vases,NA,those vases,NA,those,vases those
0,det,NA,key,NA,that key,NA,that,key that
0,num_det,these,cherries,ten,these ten cherries,False,NA,ten these cherries
0,det,NA,banana,that,that banana,False,NA,banana that
0,det,NA,dart,this,this dart,False,NA,dart this
0,num,NA,pigs,ten,ten pigs,False,NA,pigs ten
0,det,NA,lamp,this,this lamp,False,NA,lamp this
0,num_det,these,cows,five,these five cows,False,NA,cows these five
0,num_det,those,bananas,three,those three bananas,False,NA,three those bananas
0,num_det,these,chairs,seven,these seven chairs,False,NA,seven these chairs
0,num_det,those,pineapples,two,those two pineapples,False,NA,pineapples two those
0,num_det,these,keys,seven,these seven keys,False,NA,seven these keys
0,num_det,those,cars,seven,those seven cars,False,NA,seven those cars
0,num_det,those,trays,four,those four trays,False,NA,four those trays
0,num_det,these,spatulas,three,these three spatulas,False,NA,these three spatulas
0,num_det,these,pitchers,three,these three pitchers,False,NA,pitchers three these
0,num,NA,chairs,seven,seven chairs,False,NA,chairs seven
0,det,NA,scarfs,these,these scarfs,False,NA,these scarfs
0,num,NA,leaves,seven,seven leaves,False,NA,leaves seven
0,num_det,these,darts,two,these two darts,False,NA,darts two these
0,num_det,these,shirts,two,these two shirts,False,NA,shirts two these
0,num,NA,boxes,two,two boxes,False,NA,boxes two
0,num,NA,vases,six,six vases,False,NA,vases six
0,num,NA,darts,two,two darts,False,NA,darts two
0,det,NA,pig,that,that pig,False,NA,pig that
0,num_det,these,handbags,four,these four handbags,False,NA,handbags four these
0,num_det,that,vase,one,that one vase,False,NA,vase one that
0,num,NA,shovels,eight,eight shovels,False,NA,shovels eight
0,num_det,these,hats,seven,these seven hats,False,NA,hats these seven
0,num,NA,pitchers,two,two pitchers,False,NA,pitchers two
0,det,NA,shovel,that,that shovel,False,NA,shovel that
0,num_det,that,leaf,one,that one leaf,False,NA,leaf one that
0,num_det,these,pillows,seven,these seven pillows,False,NA,pillows seven these
0,det,NA,pineapples,those,those pineapples,False,NA,pineapples those
0,num_det,these,pears,six,these six pears,False,NA,pears six these
0,num_det,these,suitcases,six,these six suitcases,False,NA,suitcases these six
0,num_det,these,shoes,three,these three shoes,False,NA,shoes three these
0,num_det,these,ribbons,ten,these ten ribbons,False,NA,ribbons these ten
0,num,NA,hats,six,six hats,False,NA,hats six
0,num_det,these,horses,seven,these seven horses,False,NA,horses these seven
0,num_det,these,pigs,two,these two pigs,False,NA,pigs these two
0,num_det,these,lamps,seven,these seven lamps,False,NA,lamps these seven
0,det,NA,car,that,that car,False,NA,car that
0,num_det,these,bowls,ten,these ten bowls,False,NA,bowls these ten
0,num,NA,bananas,nine,nine bananas,False,NA,bananas nine
0,num_det,those,couches,five,those five couches,False,NA,couches those five
0,num_det,these,ducks,three,these three ducks,False,NA,ducks three these
0,det,NA,horses,these,these horses,False,NA,horses these
0,num_det,this,box,one,this one box,False,NA,box one this
0,num_det,these,scarfs,four,these four scarfs,False,NA,scarfs these four
0,num_det,those,shovels,four,those four shovels,False,NA,shovels those four
0,det,NA,couches,these,these couches,False,NA,couches these
1,num,NA,chairs,NA,eight chairs,NA,eight,chairs eight
1,num,NA,cow,NA,one cow,NA,one,cow one
1,num,NA,pineapples,NA,nine pineapples,NA,nine,pineapples nine
1,det,NA,tray,NA,that tray,NA,that,tray that
1,det,NA,box,NA,that box,NA,that,box that
1,num,NA,cars,NA,seven cars,NA,seven,cars seven
1,num,NA,vases,NA,ten vases,NA,ten,vases ten
1,det,NA,pig,NA,that pig,NA,that,pig that
1,num,NA,couches,NA,five couches,NA,five,couches five
1,det,NA,cherries,NA,those cherries,NA,those,cherries those
1,num,NA,hats,NA,two hats,NA,two,hats two
1,det,NA,lamp,NA,this lamp,NA,this,lamp this
1,num,NA,handbags,NA,eight handbags,NA,eight,handbags eight
1,num,NA,boxes,NA,six boxes,NA,six,boxes six
1,det,NA,shoes,NA,these shoes,NA,these,shoes these
1,num,NA,shirts,NA,nine shirts,NA,nine,shirts nine
1,num,NA,suitcases,NA,nine suitcases,NA,nine,suitcases nine
1,det,NA,hats,NA,those hats,NA,those,hats those
1,det,NA,spatulas,NA,these spatulas,NA,these,spatulas these
1,det,NA,shovels,NA,those shovels,NA,those,shovels those
1,det,NA,pineapples,NA,those pineapples,NA,those,pineapples those
1,det,NA,keys,NA,those keys,NA,those,keys those
1,det,NA,cow,NA,this cow,NA,this,cow this
1,det,NA,couch,NA,this couch,NA,this,couch this
1,num,NA,scarfs,NA,three scarfs,NA,three,scarfs three
1,det,NA,cars,NA,those cars,NA,those,cars those
1,num,NA,keys,NA,two keys,NA,two,keys two
1,num,NA,lamps,NA,nine lamps,NA,nine,lamps nine
1,num,NA,pigs,NA,five pigs,NA,five,pigs five
1,det,NA,horses,NA,those horses,NA,those,horses those
1,num_det,that,cherry,one,that one cherry,False,NA,cherry that one
1,num_det,those,trays,eight,those eight trays,False,NA,trays eight those
1,num_det,those,bananas,nine,those nine bananas,False,NA,bananas nine those
1,num_det,these,ribbons,four,these four ribbons,False,NA,ribbons four these
1,num_det,these,lamps,ten,these ten lamps,False,NA,lamps ten these
1,num_det,those,boxes,nine,those nine boxes,False,NA,boxes nine those
1,num_det,these,darts,ten,these ten darts,False,NA,darts ten these
1,det,NA,chair,that,that chair,False,NA,chair that
1,num,NA,pitchers,seven,seven pitchers,False,NA,seven pitchers
1,num,NA,suitcases,ten,ten suitcases,False,NA,suitcases ten
1,num_det,those,shirts,four,those four shirts,False,NA,shirts four those
1,num_det,those,cows,eight,those eight cows,False,NA,cows eight those
1,num,NA,lamps,seven,seven lamps,False,NA,lamps seven
1,num_det,these,ducks,four,these four ducks,False,NA,ducks four these
1,num_det,this,suitcase,one,this one suitcase,False,NA,suitcase one this
1,num_det,these,pillows,six,these six pillows,False,NA,pillows six these
1,num_det,those,scarfs,eight,those eight scarfs,False,NA,scarfs eight those
1,num_det,this,bowl,one,this one bowl,False,NA,bowl one this
1,num,NA,box,one,one box,False,NA,box one
1,num_det,these,cars,six,these six cars,False,NA,cars six these
1,num_det,these,hats,ten,these ten hats,False,NA,hats ten these
1,num_det,these,leaves,nine,these nine leaves,False,NA,leaves nine these
1,num,NA,chairs,three,three chairs,False,NA,chairs three
1,det,NA,key,that,that key,False,NA,key that
1,num,NA,spatulas,eight,eight spatulas,False,NA,spatulas eight
1,det,NA,couches,those,those couches,False,NA,couches those
